,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.02,27.91,59.29,69,0,7.7,ZA,1596058764
1,busselton,-33.65,115.33,46.99,92,79,5.19,AU,1596058750
2,hilo,19.73,-155.09,82.4,58,1,8.05,US,1596058761
3,mount pleasant,32.79,-79.86,90.0,70,1,16.11,US,1596058835
4,jamestown,42.1,-79.24,75.99,78,90,6.93,US,1596058754
5,lyuban,52.8,28.0,58.75,89,0,6.15,BY,1596059074
6,riberalta,-10.98,-66.1,85.33,45,65,3.58,BO,1596059074
7,upernavik,72.79,-56.15,43.2,87,49,5.35,GL,1596058762
8,castro,-24.79,-50.01,55.26,97,100,5.97,BR,1596058762
9,marfino,55.7,37.38,70.0,82,99,6.71,RU,1596058861
10,rikitea,-23.12,-134.97,73.13,82,61,14.36,PF,1596058751
11,pagudpud,18.56,120.79,80.6,88,90,2.24,PH,1596059075
12,skibbereen,51.55,-9.27,59.0,93,75,11.41,IE,1596059075
13,pitimbu,-7.47,-34.81,73.4,94,75,8.05,BR,1596059075
14,mwinilunga,-11.74,24.43,55.36,48,0,4.56,ZM,1596059075
15,lompoc,34.64,-120.46,71.01,72,6,16.11,US,1596059076
16,barrow,71.29,-156.79,44.6,81,90,25.28,US,1596058778
17,liusha,27.21,108.59,67.84,98,57,1.14,CN,1596059076
18,aksarka,66.56,67.8,45.55,92,90,6.42,RU,1596059076
19,mataura,-46.19,168.86,50.54,80,100,3.51,NZ,1596058750
20,tiksi,71.69,128.87,40.06,86,100,7.81,RU,1596058772
21,hobart,-42.88,147.33,46.0,70,20,9.17,AU,1596058574
22,sao jose de ribamar,-2.56,-44.05,82.4,78,20,8.05,BR,1596059077
23,mata,40.68,-7.46,70.0,70,0,3.11,PT,1596059077
24,puerto ayora,-0.74,-90.35,75.2,64,20,21.92,EC,1596058754
25,albany,42.6,-73.97,86.0,42,12,4.14,US,1596058502
26,sakaiminato,35.55,133.23,77.0,94,75,5.82,JP,1596059078
27,ponta delgada,37.73,-25.67,71.6,94,75,11.41,PT,1596058675
28,norman wells,65.28,-126.83,60.8,82,90,6.93,CA,1596058615
29,bambous virieux,-20.34,57.76,71.6,83,40,10.29,MU,1596058775
30,conakry,9.54,-13.68,78.58,82,100,16.15,GN,1596058896
31,clyde river,70.47,-68.59,41.0,93,75,12.75,CA,1596058816
32,nadym,65.53,72.52,46.62,94,59,9.22,RU,1596059079
33,ushuaia,-54.8,-68.3,39.2,92,75,28.86,AR,1596058649
34,talnakh,69.49,88.4,57.2,71,44,8.95,RU,1596058774
35,storforshei,66.4,14.52,64.4,68,40,6.93,NO,1596059079
36,goure,13.98,10.27,87.01,58,81,3.0,NE,1596059080
37,chokurdakh,70.63,147.92,44.01,67,69,10.74,RU,1596058765
38,cape town,-33.93,18.42,57.99,100,75,4.7,ZA,1596058760
39,mar del plata,-38.0,-57.56,51.8,57,0,5.82,AR,1596058752
40,vaini,-21.2,-175.2,69.8,77,40,16.11,TO,1596058763
41,manoel urbano,-8.84,-69.26,84.51,57,59,2.86,BR,1596059081
42,la palma,33.85,-118.05,89.01,48,1,5.82,US,1596059081
43,kruisfontein,-34.0,24.73,52.2,70,0,11.16,ZA,1596059081
44,hermanus,-34.42,19.23,59.0,80,11,1.01,ZA,1596058751
45,tasiilaq,65.61,-37.64,44.6,70,71,6.93,GL,1596058792
46,ponta do sol,32.67,-17.1,71.6,64,40,10.29,PT,1596058776
47,ustka,54.58,16.86,59.79,79,35,16.84,PL,1596059081
48,la rioja,42.25,-2.5,78.8,57,0,1.12,ES,1596059082
49,san quintin,30.48,-115.95,74.71,63,1,15.32,MX,1596058842
50,mackay,-21.15,149.2,51.01,93,0,6.93,AU,1596058769
51,saint-leu,-21.15,55.28,66.2,88,36,4.7,RE,1596059082
52,nikolskoye,59.7,30.79,60.8,77,1,4.47,RU,1596058752
53,vila franca do campo,37.72,-25.43,71.6,94,75,11.41,PT,1596058805
54,belle fourche,44.67,-103.85,73.0,67,100,5.99,US,1596059083
55,klaksvik,62.23,-6.59,46.4,93,96,18.34,FO,1596058808
56,arraial do cabo,-22.97,-42.03,73.4,83,75,12.75,BR,1596058770
57,parkes,-33.13,148.18,42.01,91,3,4.29,AU,1596059083
58,saskylakh,71.92,114.08,52.57,69,0,4.41,RU,1596058753
59,patuli,23.55,88.25,80.38,85,100,9.08,IN,1596059084
60,san francisco,37.77,-122.42,71.01,56,20,21.92,US,1596058809
61,akdepe,42.06,59.38,80.6,18,33,9.17,TM,1596059084
62,bethel,41.37,-73.41,89.01,55,1,9.17,US,1596058489
63,mocuba,-16.84,36.99,59.88,92,0,1.74,MZ,1596059085
64,fortuna,40.6,-124.16,70.0,77,28,3.0,US,1596058788
65,geraldton,-28.77,114.6,48.2,87,0,11.41,AU,1596058758
66,ashland,40.82,-82.27,87.8,45,1,12.75,US,1596059085
67,aksha,50.28,113.29,61.27,86,6,0.63,RU,1596059085
68,odlabari,26.83,88.62,77.81,89,100,3.67,IN,1596059085
69,nishihara,26.18,127.76,84.2,89,20,9.17,JP,1596059086
70,bluff,-46.6,168.33,52.74,75,100,13.89,NZ,1596058772
71,muros,42.78,-9.06,73.4,64,0,3.36,ES,1596059086
72,butaritari,3.07,172.79,83.01,75,36,18.1,KI,1596058764
73,matara,5.95,80.54,77.5,90,87,10.76,LK,1596059086
74,amuntai,-2.42,115.25,69.62,93,94,0.65,ID,1596059087
75,tuktoyaktuk,69.45,-133.04,53.6,76,75,8.05,CA,1596058753
76,jumla,29.27,82.18,62.06,71,100,1.52,NP,1596058743
77,ribeira grande,38.52,-28.7,75.2,88,40,16.11,PT,1596058775
78,dikson,73.51,80.55,49.55,75,58,9.01,RU,1596058757
79,arcachon,44.59,-1.05,75.2,68,0,1.12,FR,1596059088
80,berdigestyakh,62.1,126.7,55.08,88,0,4.25,RU,1596059088
81,ahipara,-35.17,173.17,58.12,76,100,12.12,NZ,1596058759
82,provideniya,64.38,-173.3,50.0,87,90,6.71,RU,1596058749
83,cururupu,-1.83,-44.87,75.6,92,8,3.2,BR,1596059088
84,kodiak,57.79,-152.41,62.6,67,1,5.82,US,1596058746
85,berlevag,70.86,29.09,51.8,93,1,19.46,NO,1596058754
86,vanimo,-2.67,141.3,79.41,81,9,5.66,PG,1596059089
87,kapaa,22.08,-159.32,80.01,78,90,16.11,US,1596058752
88,victoria,22.29,114.16,84.0,88,100,4.0,HK,1596058774
89,faanui,-16.48,-151.75,79.54,78,100,18.75,PF,1596058765
90,whitehorse,60.72,-135.05,64.0,59,75,6.93,CA,1596059089
91,krivosheino,57.34,83.93,56.17,98,100,4.27,RU,1596059090
92,carnarvon,-24.87,113.63,55.4,100,0,8.05,AU,1596058758
93,gombe,10.29,11.17,76.08,81,85,13.89,NG,1596059090
94,pringsewu,-5.36,104.97,70.54,93,95,2.26,ID,1596059090
95,saint-augustin,51.23,-58.65,62.24,71,3,12.66,CA,1596058803
96,mount gambier,-37.83,140.77,39.2,93,40,4.7,AU,1596058760
97,mahibadhoo,3.78,72.97,82.54,76,98,16.82,MV,1596058775
98,avarua,-21.21,-159.78,73.4,69,51,8.05,CK,1596058764
99,santiago del estero,-27.8,-64.26,55.76,35,69,8.43,AR,1596058996
100,auki,-8.77,160.7,82.6,74,93,2.75,SB,1596059091
101,longyearbyen,78.22,15.64,55.4,76,20,6.93,SJ,1596058787
102,svetlogorsk,52.63,29.73,60.98,94,10,4.9,BY,1596059092
103,kamenka,51.32,42.77,69.01,57,17,8.05,RU,1596059092
104,khatanga,71.97,102.5,57.85,64,100,12.44,RU,1596058749
105,codrington,-38.27,141.97,45.05,87,46,5.44,AU,1596059092
106,port elizabeth,-33.92,25.57,59.0,67,0,10.29,ZA,1596058767
107,luderitz,-26.65,15.16,57.2,71,0,10.29,NA,1596058834
108,palmer,42.16,-72.33,91.4,26,20,10.29,US,1596058824
109,soyo,-6.13,12.37,72.37,82,25,8.14,AO,1596058819
110,saint-philippe,-21.36,55.77,69.8,88,40,2.24,RE,1596058786
111,aykhal,66.0,111.5,50.0,76,100,6.71,RU,1596058842
112,lebu,-37.62,-73.65,45.91,71,100,2.77,CL,1596058793
113,cabo san lucas,22.89,-109.91,87.01,42,75,11.41,MX,1596058599
114,gamba,-2.65,10.0,72.64,81,19,8.75,GA,1596058816
115,bulawayo,-20.15,28.58,51.26,57,0,6.4,ZW,1596059094
116,airai,-8.93,125.41,52.07,62,41,3.53,TL,1596058753
117,yeppoon,-23.13,150.73,48.2,93,0,6.06,AU,1596059095
